Record_ID,Date,Region,Crop,Rainfall_mm,Yield_kg,Price_GHS,Temperature_C,Farmer_Count,Revenue
1,2021-01-01,Greater Accra,Maize,7.27,1139.48,1.86,32.7,149,2119.4328
2,2021-01-01,Greater Accra,Cocoa,4.88,0.0,13.02,24.0,493,0.0
3,2021-01-01,Ashanti,Maize,0.0,1467.28,1.92,26.9,320,2817.1776
4,2021-01-01,Ashanti,Cassava,10.39,10511.46,1.11,24.5,356,11667.7206
5,2021-01-01,Ashanti,Cocoa,0.0,230.6,10.06,30.8,477,2319.8360000000002
6,2021-01-01,Northern,Maize,3.58,0.0,2.03,30.6,51,0.0
7,2021-01-01,Northern,Cassava,0.0,0.0,1.05,28.0,319,0.0
8,2021-01-01,Northern,Cocoa,2.29,0.0,11.24,33.6,262,0.0
9,2021-01-01,Western,Maize,1.87,1579.39,1.93,32.0,114,3048.2227000000003
10,2021-01-01,Western,Cocoa,7.91,236.35,9.88,31.1,468,2335.138
11,2021-01-01,Eastern,Maize,0.0,0.0,2.34,27.3,97,0.0
12,2021-01-01,Eastern,Cassava,4.42,0.0,1.11,26.7,84,0.0
13,2021-01-01,Eastern,Cocoa,3.88,0.0,12.31,28.9,442,0.0
14,2021-01-02,Greater Accra,Maize,3.01,0.0,1.98,33.0,290,0.0
15,2021-01-02,Greater Accra,Cassava,2.19,0.0,1.18,26.3,209,0.0
16,2021-01-02,Greater Accra,Cocoa,4.96,0.0,11.68,27.0,183,0.0
17,2021-01-02,Ashanti,Maize,4.98,0.0,1.91,27.6,239,0.0
18,2021-01-02,Ashanti,Cocoa,3.47,0.0,12.69,24.1,460,0.0
19,2021-01-02,Northern,Maize,0.39,0.0,2.08,29.2,282,0.0
20,2021-01-02,Northern,Cassava,0.0,5406.8,1.15,31.1,150,6217.82
21,2021-01-02,Northern,Cocoa,0.42,185.83,12.89,26.4,179,2395.3487000000005
22,2021-01-02,Western,Maize,12.76,0.0,2.31,24.8,233,0.0
23,2021-01-02,Western,Cassava,12.95,0.0,1.09,24.9,146,0.0
24,2021-01-02,Western,Cocoa,1.89,0.0,12.68,27.3,469,0.0
25,2021-01-02,Eastern,Cassava,0.0,0.0,1.02,33.4,178,0.0
26,2021-01-02,Eastern,Cocoa,7.3,294.16,11.99,26.3,193,3526.9784000000004
27,2021-01-03,Greater Accra,Maize,0.0,1393.12,2.57,30.3,58,3580.3183999999997
28,2021-01-03,Greater Accra,Cassava,4.48,0.0,1.22,28.0,210,0.0
29,2021-01-03,Greater Accra,Cocoa,1.35,184.12,11.36,30.9,257,2091.6032
30,2021-01-03,Ashanti,Maize,0.0,1369.96,1.96,27.7,441,2685.1216
31,2021-01-03,Ashanti,Cassava,3.71,0.0,0.98,26.4,87,0.0
32,2021-01-03,Ashanti,Cocoa,5.11,0.0,10.88,27.5,146,0.0
33,2021-01-03,Northern,Maize,5.03,904.43,2.35,25.8,269,2125.4105
34,2021-01-03,Northern,Cassava,0.0,0.0,1.17,33.5,398,0.0
35,2021-01-03,Northern,Cocoa,3.65,0.0,10.38,25.7,330,0.0
36,2021-01-03,Western,Maize,5.59,0.0,1.87,26.1,480,0.0
37,2021-01-03,Western,Cassava,4.85,0.0,1.15,31.0,225,0.0
